Team_Season,Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Season,W_PCT,Playoffs,SB,Cap,QB_P,RB_P,WR_P,TE_P,OL_P,IDL_P,EDGE_P,LB_P,S_P,CB_P,Defense_P,Offense_P,Dead_Open_Specials,W
Cardinals 2022,Cardinals,16348925,6213758,24621833,7121287,44681251,98987054,23503243,9842220,15369345,19606956,7124107,75445871,2022,0.235,0,0,208200000,0.07852509606147935,0.02984513928914505,0.1182604851104707,0.03420406820365034,0.214607353506244,0.11288781460134487,0.04727291066282421,0.07382010086455332,0.09417365994236311,0.034217612872238234,0.36237209894332373,0.47544214217098946,0.16218575888568676,4
Falcons 2022,Falcons,6303695,4894510,9535858,10678128,32848444,64260635,18104464,6077102,4917321,4468126,14033033,47600046,2022,0.412,0,0,208200000,0.03027711335254563,0.023508693563880884,0.045801431316042265,0.051287838616714695,0.15777350624399616,0.08695707973102786,0.02918877041306436,0.023618256484149856,0.02146073967339097,0.06740169548511048,0.22862654178674352,0.30864858309317966,0.46272487512007676,7
Ravens 2022,Ravens,24100655,8179654,7616822,12307075,38678276,90882482,11195023,14877531,7852081,12066802,32103215,78094652,2022,0.588,1,0,208200000,0.11575722862632085,0.039287483189241114,0.03658415946205572,0.05911179154658982,0.18577462055715657,0.05377052353506244,0.0714578818443804,0.037714125840537946,0.05795774255523535,0.15419411623439,0.37509439000960615,0.4365152833813641,0.18839032660902977,10
Bills 2022,Bills,20230481,7299886,18982654,4501683,29350967,80365671,16458562,12078022,24091768,18151730,26310989,97091071,2022,0.813,1,0,208200000,0.09716849663784823,0.03506189241114313,0.09117509125840538,0.02162191642651297,0.1409748655139289,0.0790516906820365,0.0580116330451489,0.1157145437079731,0.08718410182516811,0.12637362632084534,0.46633559558117194,0.3860022622478386,0.14766214217098939,13
Panthers 2022,Panthers,20461726,3829960,12882679,5253310,33291588,75719263,11405978,9462303,23312667,6802770,16752502,67736220,2022,0.412,0,0,208200000,0.09827918347742555,0.01839558117195005,0.06187646013448607,0.025232036503362153,0.15990195965417867,0.05478375600384246,0.04544814121037464,0.11197246397694524,0.03267420749279539,0.08046350624399616,0.3253420749279539,0.3636852209414025,0.3109727041306436,7
Bears 2022,Bears,6917413,4900984,11115639,5756091,27473483,56163610,11799311,5649095,6862834,20336001,5518865,50166106,2022,0.176,0,0,208200000,0.03322484630163305,0.023539788664745438,0.053389236311239194,0.02764693083573487,0.13195717098943324,0.05667296349663785,0.027133021133525455,0.03296269932756964,0.09767531700288185,0.026507516810758885,0.2409515177713737,0.26975797310278576,0.4892905091258406,3
Bengals 2022,Bengals,11332371,15533810,22298088,7324969,30652020,87141258,25457899,24666921,7997820,26928297,20293823,105344760,2022,0.75,1,0,208200000,0.05443021613832853,0.07461003842459174,0.1070993659942363,0.0351823679154659,0.14722391930835735,0.12227617195004803,0.11847704610951008,0.03841412103746398,0.1293386023054755,0.09747273294908741,0.5059786743515851,0.41854590778097983,0.07547541786743506,12
Browns 2022,Browns,14942928,14503104,11614046,6171535,37805257,85036870,9433318,19071235,9826334,11808926,12414924,62554737,2022,0.412,0,0,208200000,0.07177198847262248,0.06965948126801152,0.05578312199807877,0.029642339097022095,0.18158144572526416,0.045308924111431316,0.09160055235350624,0.04719660902977906,0.05671914505283381,0.059629798270893375,0.3004550288184438,0.408438376560999,0.2911065946205571,7
Cowboys 2022,Cowboys,21325834,20945082,13438525,13499164,41380342,110588947,8309513,19438110,11775184,9347479,18798262,67668548,2022,0.706,1,0,208200000,0.10242955811719501,0.10060077809798271,0.06454622958693564,0.06483748318924111,0.19875284341978866,0.0399112055715658,0.09336268011527378,0.05655707973102786,0.0448966330451489,0.09028944284341979,0.3250170413064361,0.5311668924111431,0.14381606628242083,12
Broncos 2022,Broncos,18082500,6405499,19436070,5262023,43074703,92260795,13772100,10635344,6989055,23249297,22834821,77480617,2022,0.294,0,0,208200000,0.08685158501440922,0.030766085494716617,0.0933528818443804,0.025273885686839578,0.2068909846301633,0.06614841498559078,0.05108234390009606,0.033568948126801154,0.11166809317963497,0.10967733429394813,0.37214513448607106,0.44313542267050915,0.1847194428434198,5
Lions 2022,Lions,32219500,9162629,14045393,2328750,41941085,99697357,12747744,28277728,8275184,8925370,18071989,76298015,2022,0.529,0,0,208200000,0.15475264169068204,0.04400878482228626,0.06746106147934679,0.011185158501440922,0.2014461335254563,0.06122835734870317,0.13582001921229586,0.03974632084534102,0.042869212295869354,0.08680109990393851,0.3664650096061479,0.4788537800192123,0.15468121037463978,9
Texans 2022,Texans,3856318,5480218,16068691,3710583,37408894,66524704,7425859,15929240,12683243,9515023,16819387,62372752,2022,0.206,0,0,208200000,0.01852218059558117,0.026321892411143133,0.07717911143131605,0.01782220461095101,0.17967768491834774,0.03566695004803074,0.07650931796349664,0.06091855427473583,0.045701359269932754,0.08078475984630164,0.2995809414024976,0.3195230739673391,0.3808959846301634,3
