"team","season","dead_cap_pct","w_pct"
Oakland Raiders,2013,54.22,0.25
Chicago Bears,2022,48.93,0.176
Atlanta Falcons,2022,46.27,0.412
Miami Dolphins,2019,42.49,0.313
Cleveland Browns,2016,40.97,0.063
San Francisco 49ers,2017,40.68,0.375
Buffalo Bills,2018,40.31,0.375
Houston Texans,2022,38.09,0.206
Cleveland Browns,2017,37.64,0.0
Jacksonville Jaguars,2020,36.67,0.063
New Orleans Saints,2016,35.91,0.438
Jacksonville Jaguars,2013,35.4,0.25
New York Jets,2020,34.67,0.125
Las Vegas Raiders,2022,32.37,0.353
Philadelphia Eagles,2021,31.73,0.529
