"team","season","qb_p","team_avg_qb_spend","spend_above_avg"
Indianapolis Colts,2020,0.238,0.116,0.122
Miami Dolphins,2017,0.198,0.076,0.122
Tennessee Titans,2022,0.191,0.079,0.112
San Francisco 49ers,2018,0.216,0.112,0.104
Arizona Cardinals,2017,0.177,0.083,0.094
Kansas City Chiefs,2022,0.186,0.092,0.094
Dallas Cowboys,2020,0.18,0.090,0.090
Seattle Seahawks,2021,0.184,0.096,0.088
Denver Broncos,2013,0.151,0.073,0.078
Cleveland Browns,2018,0.138,0.063,0.075
Oakland Raiders,2018,0.146,0.072,0.074
San Francisco 49ers,2021,0.183,0.112,0.071
Tampa Bay Buccaneers,2020,0.139,0.070,0.069
Los Angeles Rams,2020,0.15,0.081,0.069
Houston Texans,2021,0.125,0.057,0.068
Denver Broncos,2014,0.14,0.073,0.067
Minnesota Vikings,2021,0.182,0.116,0.066
Seattle Seahawks,2020,0.162,0.096,0.066
Baltimore Ravens,2017,0.16,0.096,0.064
Oakland Raiders,2019,0.136,0.072,0.064
Dallas Cowboys,2016,0.154,0.090,0.064
New York Giants,2013,0.178,0.116,0.062
Denver Broncos,2015,0.133,0.073,0.060
Baltimore Ravens,2018,0.156,0.096,0.060
Baltimore Ravens,2016,0.155,0.096,0.059
Kansas City Chiefs,2015,0.15,0.092,0.058
New York Jets,2013,0.119,0.062,0.057
Washington Redskins,2017,0.165,0.108,0.057
New Orleans Saints,2015,0.177,0.121,0.056
Tampa Bay Buccaneers,2019,0.126,0.070,0.056
Los Angeles Chargers,2019,0.144,0.091,0.052
Arizona Cardinals,2016,0.135,0.083,0.052
Washington Redskins,2019,0.159,0.108,0.051
Chicago Bears,2014,0.145,0.094,0.051
St. Louis Rams,2014,0.15,0.099,0.051
Philadelphia Eagles,2015,0.121,0.071,0.050
Philadelphia Eagles,2018,0.121,0.071,0.050
New York Giants,2016,0.165,0.116,0.049
Seattle Seahawks,2019,0.143,0.096,0.047
Buffalo Bills,2022,0.097,0.051,0.046
New England Patriots,2018,0.13,0.085,0.045
Tennessee Titans,2019,0.124,0.079,0.044
Atlanta Falcons,2016,0.165,0.122,0.043
Seattle Seahawks,2018,0.139,0.096,0.043
Minnesota Vikings,2019,0.159,0.116,0.043
New York Giants,2014,0.158,0.116,0.042
Atlanta Falcons,2017,0.164,0.122,0.042
Arizona Cardinals,2014,0.125,0.083,0.042
San Francisco 49ers,2016,0.153,0.112,0.041
Minnesota Vikings,2022,0.157,0.116,0.041
Atlanta Falcons,2021,0.161,0.122,0.039
Los Angeles Chargers,2018,0.131,0.091,0.039
Detroit Lions,2013,0.174,0.136,0.038
Kansas City Chiefs,2016,0.13,0.092,0.038
Philadelphia Eagles,2020,0.108,0.071,0.037
Tennessee Titans,2020,0.117,0.079,0.037
Philadelphia Eagles,2013,0.108,0.071,0.037
Carolina Panthers,2016,0.138,0.101,0.037
Los Angeles Rams,2021,0.118,0.081,0.037
Houston Texans,2013,0.095,0.057,0.037
Houston Texans,2016,0.093,0.057,0.036
Chicago Bears,2016,0.13,0.094,0.036
New York Giants,2019,0.151,0.116,0.035
Kansas City Chiefs,2017,0.127,0.092,0.035
New England Patriots,2019,0.12,0.085,0.035
Cleveland Browns,2021,0.098,0.063,0.035
Carolina Panthers,2017,0.136,0.101,0.035
Washington Redskins,2016,0.143,0.108,0.035
Detroit Lions,2019,0.17,0.136,0.034
Minnesota Vikings,2018,0.149,0.116,0.033
Chicago Bears,2017,0.127,0.094,0.033
San Francisco 49ers,2020,0.145,0.112,0.033
New England Patriots,2013,0.118,0.085,0.033
New Orleans Saints,2018,0.152,0.121,0.031
New England Patriots,2014,0.116,0.085,0.031
Cincinnati Bengals,2017,0.101,0.071,0.031
Oakland Raiders,2017,0.102,0.072,0.030
Green Bay Packers,2021,0.168,0.137,0.030
Dallas Cowboys,2015,0.119,0.090,0.029
Carolina Panthers,2019,0.13,0.101,0.029
Indianapolis Colts,2018,0.145,0.116,0.029
Pittsburgh Steelers,2021,0.164,0.135,0.029
New Orleans Saints,2020,0.149,0.121,0.028
Pittsburgh Steelers,2016,0.163,0.135,0.028
