"team","season","points_diff","w_pct"
Baltimore Ravens,2019,249,0.875
Denver Broncos,2013,207,0.813
New England Patriots,2019,195,0.75
Buffalo Bills,2021,194,0.647
Carolina Panthers,2015,192,0.938
New England Patriots,2016,191,0.875
Seattle Seahawks,2013,186,0.813
Arizona Cardinals,2015,176,0.813
San Francisco 49ers,2022,173,0.765
Dallas Cowboys,2021,172,0.706
Buffalo Bills,2022,169,0.813
San Francisco 49ers,2019,169,0.813
Baltimore Ravens,2020,165,0.688
New England Patriots,2017,162,0.813
Philadelphia Eagles,2017,162,0.813
New England Patriots,2021,159,0.588
Tampa Bay Buccaneers,2021,158,0.765
New England Patriots,2014,155,0.75
New Orleans Saints,2018,151,0.813
New England Patriots,2015,150,0.75
